team,matchID,goals,shots,fouls,yellows,reds,match_outcome
Clermont,NANCLE,2,15,5,1,0,Win
Lyon,"LE LYO",1,9,4,0,2,Loss
"Paris SG",LENPAR,2,15,8,1,0,Win
Rennes,LYOREN,3,11,12,2,0,Win
Metz,NICMET,0,2,13,1,0,Loss
Monaco,MARMON,2,6,12,3,2,Draw
Lille,MONLIL,0,12,16,3,1,Draw
Strasbourg,CLESTR,1,6,16,3,0,Draw
"Le Havre","LORLE ",3,14,21,4,0,Draw
Nantes,REINAN,0,7,16,2,0,Draw
Lens,TOULEN,2,13,14,3,0,Win
Brest,PARBRE,2,9,10,3,0,Draw
"Paris SG",STRPAR,2,9,13,1,0,Win
Montpellier,RENMON,1,17,12,3,0,Loss
Lens,NANLEN,1,12,11,2,0,Win
"Le Havre","MONLE ",1,3,11,2,0,Draw
Clermont,LILCLE,0,4,10,1,0,Loss
Lorient,METLOR,2,12,13,1,0,Win
Toulouse,REITOU,3,9,16,3,0,Win
Nice,BRENIC,0,13,12,1,0,Draw
Marseille,LYOMAR,0,8,10,1,0,Loss
Metz,MARMET,1,7,16,0,0,Draw
Strasbourg,LENSTR,1,19,14,1,0,Loss
Lille,PARLIL,1,10,10,3,0,Loss
Rennes,"LE REN",1,11,7,1,0,Win
Brest,CLEBRE,1,15,13,4,1,Draw
Reims,LORREI,0,23,14,1,0,Loss
Nantes,TOUNAN,2,5,13,1,0,Win
Lyon,MONLYO,2,19,11,2,0,Win
Monaco,NICMON,3,9,14,4,0,Win
Nice,LYONIC,0,20,12,1,0,Loss
"Le Havre","LILLE ",0,6,17,3,0,Loss
"Paris SG",NANPAR,2,12,12,0,0,Win
Lorient,STRLOR,3,13,12,1,0,Win
Toulouse,MONTOU,2,14,12,3,0,Win
Metz,MONMET,0,14,13,3,0,Loss
Clermont,RENCLE,1,14,10,0,1,Loss
Lens,REILEN,1,9,9,2,0,Draw
Marseille,BREMAR,0,9,9,1,0,Loss
Lyon,METLYO,2,11,12,2,0,Win
Nantes,LORNAN,1,7,11,2,0,Win
Brest,STRBRE,3,15,10,0,0,Win
Monaco,LENMON,3,15,13,3,0,Win
Reims,"LE REI",2,16,13,3,1,Win
Clermont,NICCLE,0,13,12,1,0,Draw
Lille,TOULIL,1,12,10,0,0,Loss
Rennes,PARREN,1,3,16,3,0,Draw
Montpellier,MARMON,1,9,12,4,0,Loss
"Paris SG",MONPAR,0,14,13,0,0,Draw
Lille,REILIL,1,8,14,2,0,Win
Marseille,CLEMAR,5,17,13,1,0,Win
Nice,TOUNIC,1,9,10,2,0,Loss
"Le Havre","BRELE ",0,11,15,1,0,Loss
Strasbourg,MONSTR,2,12,17,3,0,Draw
Metz,NANMET,2,13,11,2,0,Win
Lorient,RENLOR,2,12,9,2,0,Win
Lens,LYOLEN,3,18,15,2,0,Win
Montpellier,NICMON,2,7,11,2,0,Win
Lyon,LORLYO,2,13,7,0,0,Win
Brest,LENBRE,0,9,10,2,0,Loss
Reims,PARREI,2,8,12,2,0,Draw
Toulouse,"LE TOU",0,5,17,1,0,Loss
Clermont,METCLE,0,13,10,3,0,Loss
Monaco,STRMON,1,17,15,3,0,Win
Rennes,LILREN,2,11,20,2,0,Draw
Nantes,MARNAN,0,10,16,3,0,Loss
Lyon,TOULYO,3,18,12,2,0,Win
Strasbourg,NANSTR,3,11,15,3,0,Win
Nice,LENNIC,3,7,12,3,0,Win
Lille,BRELIL,1,13,12,0,0,Draw
"Le Havre","CLELE ",1,14,17,5,1,Loss
Lorient,MONLOR,2,11,8,1,1,Draw
Metz,REIMET,1,12,10,4,0,Loss
Marseille,RENMAR,0,8,12,3,0,Loss
"Paris SG",MONPAR,6,16,13,3,0,Win
Lens,LILLEN,1,9,17,3,0,Loss
Monaco,METMON,5,17,8,0,0,Win
Reims,LYOREI,1,17,10,3,0,Draw
Brest,LORBRE,1,10,18,3,1,Win
Toulouse,CLETOU,3,11,12,1,0,Win
Montpellier,"LE MON",2,14,12,2,0,Win
Nantes,NICNAN,2,13,19,5,0,Win
Rennes,STRREN,0,12,17,2,0,Loss
"Paris SG",MARPAR,2,8,8,4,1,Win
Marseille,LILMAR,1,13,18,6,0,Loss
"Le Havre","LENLE ",1,11,10,5,0,Draw
Clermont,PARCLE,1,6,7,0,0,Draw
Metz,BREMET,3,8,17,1,0,Loss
Lorient,MONLOR,0,19,18,6,0,Loss
Nice,REINIC,0,18,15,1,0,Draw
Strasbourg,TOUSTR,0,8,17,0,0,Draw
Rennes,MONREN,0,12,17,1,1,Loss
Lyon,NANLYO,3,19,14,2,0,Win
Lens,METLEN,1,17,17,5,0,Loss
Reims,STRREI,1,8,18,3,1,Loss
Toulouse,RENTOU,2,10,18,3,0,Win
Nantes,"LE NAN",1,12,12,2,0,Win
Montpellier,CLEMON,1,14,14,1,0,Draw
Brest,LYOBRE,3,22,7,5,1,Loss
